"","06BA","T63","T96","TBL","Ti7","TiD","TV9","TK1","TK3","TT7","TiJ"
"Merged-chr12-118141736-65",906.218665873947,1054.34628412678,813.70064377165,1044.05244381264,837.720366209132,1057.09486451911,1077.91089142063,1128.74653557286,1006.7239872428,1135.12398435069,987.624766606662
"Merged-chr12-25577448-1",54.3936458565336,41.1727875118421,70.6369217253856,44.7451047348275,46.8873339296156,46.9251150512924,56.1829950852152,37.1520403689452,47.8272299235285,26.8139523862368,43.7362152050324
"Merged-chr12-48244606-3",9.23665684356231,12.1096433858359,15.5951645367735,14.1300330741561,19.5363891373398,11.0913908303055,16.8548985255645,12.1588495752911,14.8970060417548,10.0552321448388,10.1712128383796
"Merged-chr12-12144140-7",57.4725314710544,32.2923823622291,39.4465926518387,25.1200587984997,39.8542338401732,58.0165058815979,46.5516244991783,19.5892576490802,23.5215884869812,13.4069761931184,12.2054554060556
"Merged-chr12-63384682-47",143.681328677636,161.461911811146,140.356480830961,179.765420776763,136.754723961379,123.711666953407,154.10192937659,187.786676773941,149.754113367114,177.642434558819,129.174403047421
"Merged-chr12-124182173-23",168.312413593802,215.551652267879,173.381535144128,207.240485087622,158.635479795199,161.251758994441,171.759442117658,176.978810484793,175.627860702793,172.056194478353,251.228957107977
"Merged-chr12-122971872-24",646.565979049362,640.196480331192,384.374937700475,557.351304591711,436.833661110919,591.256449646285,465.516244991783,269.521165585621,461.807187294398,450.25095048556,596.033072329046
"Merged-chr12-84346749-31",33.8677417597285,37.1362397165635,31.1903290735469,36.8950863602964,22.6622113993142,29.008252940799,31.3019544046199,31.0726155812996,30.5780650330756,50.276160724194,33.5650023666528
"Merged-chr12-56954190-42",100.576930074345,82.3455750236842,116.505052715896,117.750275617967,92.211756728244,92.1438622825379,97.918934291375,79.0325222393925,105.063095241849,131.835265898998,90.5237942615787
"Merged-chr12-19297028-1",14.3681328677636,8.07309559055728,18.3472523962041,22.7650532861403,7.81455565493593,10.238206920282,16.0522843100615,10.8078662891477,13.3289001426227,22.344960321864,13.2225766898935
