"","06BA","T63","T96","TBL","Ti7","TiD","TV9","TK1","TK3","TT7","TiJ"
"Merged-chr12-118141736-65",882.691650426075,935.122326015076,930.031043531572,895.453476991535,786.174532192487,1135.3629080454,1094.44011223041,876.050829276745,943.740644787342,939.944218030615,924.17736728635
"Merged-chr12-25577448-1",41.0265133296626,45.0980979922165,53.0337590887266,33.6145205127166,65.8745143732716,30.9133465061867,43.6498488340921,54.6834275599497,56.0732105160657,35.8210448944594,47.0999484705165
"Merged-chr12-48244606-3",13.6755044432209,13.264146468299,11.6415568731351,7.46989344727037,20.5182913621666,13.1147530632307,15.9694568905215,10.0438948579499,9.50393398577384,12.8955761620054,21.6405168648319
"Merged-chr12-12144140-7",55.9452454495399,31.8339515239175,42.6857085348287,39.2169405981694,39.9566726526401,54.3325484048129,40.4559574559878,24.5517429860999,34.2141623487858,35.8210448944594,16.548630543695
"Merged-chr12-63384682-47",137.998272108865,160.496172266417,139.698682477621,130.723135327231,154.427140252096,159.250572910658,149.048264311534,159.586329409649,167.26923814962,174.806699084962,188.399793882066
"Merged-chr12-124182173-23",186.484151498466,204.267855611804,166.862315181603,200.753386395391,165.226240969025,137.704907163922,172.470134417632,180.790107443099,185.32671272259,146.149863169394,164.213333856666
"Merged-chr12-122971872-24",559.452454495399,598.213005720283,377.703845217273,552.772115098007,436.283668963963,481.498791035756,446.080162475234,337.028471900098,522.716369217561,465.673583627972,483.729200508007
"Merged-chr12-84346749-31",29.8374642397546,27.8547075834278,21.989607427033,21.4759436609023,25.9178417206314,27.1662742024065,26.6157614842025,18.9718013983499,28.5118019573215,38.6867284860162,39.4621189888111
"Merged-chr12-56954190-42",96.9717587792026,107.439586393222,82.784404431183,103.644771580876,106.911097097605,67.4473014680436,93.6874804243928,83.6991238162495,95.0393398577384,100.298925704486,85.2890958790434
"Merged-chr12-19297028-1",8.7025937365951,13.264146468299,5.17402527694894,10.2711034899968,10.7991007169298,11.2412169113406,9.5816741343129,13.3918598105999,11.4047207829286,14.3284179577838,5.09188632113692
"Merged-chr12-128717056-78",175.295102408558,124.68297680201,196.61296052406,164.337655839948,194.383812904736,174.238862125779,167.146982120792,194.181967253699,199.582613701251,150.448388556729,143.845788572118
"Merged-chr12-102987046-23",147.944093522117,88.869781337603,100.893492900504,51.3555174499838,138.228489176701,106.791560657736,127.755655124172,143.962492963949,136.856649395143,94.5675585213728,150.210646473539
"Merged-chr12-106235600-13",13.6755044432209,10.6113171746392,10.3480505538979,22.4096803418111,21.5982014338595,21.5456657467362,13.8401959717853,16.7398247632499,18.0574745729703,15.7612597535621,20.3675452845477
